project	sample	experiment	run	Y chr overlaps	XIST overlaps	total overlaps	Y chr junctions	XIST junctions	total junctions	is male?	(Y chr overlaps / total overlaps)
SRP000543	SRS001508	SRX261173	SRR816288	22836	0	120143	7426	0	52133	1	0.19007350
SRP000546	SRS001365	SRX261172	SRR816287	18824	0	103278	6569	0	46238	0	0.18226534
SRP001523	SRS010857	SRX261171	SRR816286	21237	0	131078	6866	0	53615	0	0.16201804
SRP000542	SRS000788	SRX261174	SRR816289	11810	0	75358	4598	0	36527	1	0.15671860
SRP001523	SRS010853	SRX261170	SRR816285	25366	2	168072	8739	1	68753	1	0.15092341
SRP029434	SRS475475	SRX342740	SRR961665	2728	26	112751	1252	7	46934	0	0.02419491
SRP017105	SRS374432	SRX203200	SRR611799	702	0	208609	45	0	14350	1	0.00336515
SRP041736	SRS603430	SRX534714	SRR1275094	3932	0	1296684	93	0	47808	1	0.00303235
SRP041736	SRS603500	SRX534783	SRR1274155	2630	0	911235	20	0	22927	1	0.00288619
SRP022054	SRS418150	SRX273732	SRR837851	46	4	16581	39	2	11927	0	0.00277426
SRP041736	SRS603495	SRX534778	SRR1274412	82	0	31547	13	0	10813	1	0.00259930
SRP041736	SRS603507	SRX534790	SRR1274169	2770	0	1123779	37	0	23108	1	0.00246490
SRP041736	SRS603513	SRX534796	SRR1274181	1964	0	798297	29	0	27919	1	0.00246024
SRP014146	SRS348793	SRX158083	SRR519068	263	0	108758	143	0	16177	0	0.00241821
SRP041736	SRS603522	SRX534805	SRR1274103	1584	0	660544	43	0	32188	1	0.00239802
SRP041736	SRS603439	SRX534722	SRR1275110	3530	0	1475487	59	0	38592	1	0.00239243
SRP001599	SRS212581	SRX079566	SRR390728	567	0	237998	103	0	67462	1	0.00238237
SRP001599	SRS212581	SRX079566	SRR292241	610	0	262934	105	0	70439	1	0.00231997
SRP028822	SRS470478	SRX335393	SRR952669	3122	192	1355474	746	37	199843	1	0.00230325
SRP041736	SRS603438	SRX534721	SRR1275108	3108	0	1354779	58	0	38320	1	0.00229410
SRP041736	SRS603443	SRX534726	SRR1275118	3932	0	1802892	63	0	26740	1	0.00218094
SRP017262	SRS376467	SRX205698	SRR620041	16178	0	7426889	459	0	219354	1	0.00217830
SRP041736	SRS603518	SRX534801	SRR1274095	1317	0	604671	46	0	31861	1	0.00217804
SRP041736	SRS603498	SRX534781	SRR1274151	2520	0	1158135	26	0	26080	1	0.00217591
SRP014146	SRS348804	SRX158094	SRR519079	280	1	128865	220	1	18536	0	0.00217282
SRP041736	SRS603508	SRX534791	SRR1274171	898	0	428243	39	0	30031	1	0.00209694
SRP041736	SRS603436	SRX534719	SRR1275104	3257	0	1574217	64	0	39303	1	0.00206897
SRP041736	SRS603496	SRX534779	SRR1274147	1529	0	752956	42	0	38219	1	0.00203066
SRP041736	SRS603488	SRX534771	SRR1275032	926	0	456490	77	0	31703	1	0.00202852
SRP041736	SRS603422	SRX534705	SRR1275166	2905	0	1437320	56	0	42504	1	0.00202112
SRP041736	SRS603424	SRX534707	SRR1275170	1274	0	645788	66	0	39000	1	0.00197278
SRP007605	SRS254691	SRX087132	SRR324688	4030	0	2071156	570	0	197347	1	0.00194577
SRP007605	SRS254654	SRX087121	SRR324678	8430	0	4372079	365	0	160130	1	0.00192814
SRP041736	SRS603420	SRX534703	SRR1275162	2210	0	1164968	64	0	39379	1	0.00189705
SRP041736	SRS603524	SRX534807	SRR1274107	1109	0	588194	40	0	35432	1	0.00188543
SRP041736	SRS603442	SRX534725	SRR1275116	3179	0	1692672	50	0	30610	1	0.00187810
SRP041736	SRS603503	SRX534786	SRR1274161	1328	0	711767	67	0	33311	1	0.00186578
SRP007605	SRS254654	SRX087129	SRR324685	8000	0	4349835	380	0	173070	1	0.00183915
SRP007605	SRS254654	SRX087127	SRR324683	9594	0	5219206	381	0	175464	1	0.00183821
SRP041736	SRS603486	SRX534769	SRR1275028	924	0	507677	38	0	30483	1	0.00182005
SRP007605	SRS254691	SRX087131	SRR324687	3284	0	1830102	617	0	154243	1	0.00179444
SRP007605	SRS254691	SRX087131	SRR325616	9592	0	5363210	937	0	209226	1	0.00178848
