word	sample count (total samples: 1528)
na	1528
rna	1528
seq	1528
transcriptomic	1528
illumina	1528
instrument_model	1528
9606	1528
2015	1528
04	1528
01	1528
23	1528
49	1528
46	1528
fastq	1528
gz	1528
29	1528
05	1528
25	1528
19	1528
53	1528
ftp	1528
sra	1528
ebi	1528
ac	1528
uk	1528
vol1	1528
of	1509
and	1504
cdna	1468
the	1456
sample	1427
to	1416
http	1415
by	1412
2014	1388
a	1365
www	1324
biosamplemodel	1319
generic	1306
homo	1291
sapiens	1291
for	1285
with	1276
design	1266
using	1260
acc	1230
geo	1220
ncbi	1220
nlm	1220
nih	1220
gov	1220
query	1220
cgi	1220
accession	1220
overall	1217
source_name	1203
in	1195
brokered	1190
transcriptome	1184
analysis	1183
that	1175
were	1158
we	1155
was	1153
human	1151
cell	1141
hiseq	1123
is	1109
submission	1109
sequencing	1088
series	1084
1	1048
name	1006
at	980
all	976
institute	949
project	941
single	932
contributor	916
summary	912
code	912
contact	911
email	911
address	911
city	911
zip	911
postal	911
country	911
cells	895
from	894
samples	886
these	864
2	859
genes	829
data	800
08	784
control	768
expression	744
preparation	741
total	732
paired	729
0	729
usa	722
this	721
also	715
profiling	713
09	713
gene	690
can	688
which	677
genome	671
an	671
on	666
2000	666
line	654
libraries	651
results	648
provide	646
high	642
prepared	633
protocols	631
sets	630
be	628
experiments	620
novel	614
compared	613
reference	610
but	597
kit	585
s	579
standard	574
other	573
10	568
site	565
technologies	560
b	551
test	549
across	547
library	546
then	542
sites	540
christopher	538
platform	535
m	527
as	521
various	515
created	513
454	511
cross	509
roche	505
platforms	504
tested	504
genomics	502
performance	502
junctions	502
reproducibility	502
department	501
tissue	501
consistency	501
inter	501
concordance	501
mason	501
two	496
have	486
15	485
3	479
brain	479
are	475
11	472
pooled	470
07	463
p	458
universal	457
laboratory	455
2013	446
reads	440
06	436
show	436
protocol	435
14	431
transcription	430
constructed	427
lines	426
edu	425
each	421
or	420
read	419
following	419
read_index	414
read_class	414
application	414
read_type	414
forward	414
base_coord	414
both	413
first	410
more	407
study	407
type	406
truseq	406
medical	405
03	404
set	402
100	400
here	398
order	394
treatment	394
has	391
over	391
e	389
however	387
c	383
phone	378
d	372
resource	370
potential	370
new	370
comprehensive	367
used	367
sequenced	366
multiple	365
5	365
20	361
9	360
analyzer	357
than	357
different	356
performed	354
after	353
four	350
like	349
please	348
g	348
transcriptional	347
large	346
8	346
f	344
id	343
polya	341
independent	341
their	340
distributed	339
found	338
jan	336
replicate	335
methods	335
lane	335
information	334
cnl	330
treated	329
enriched	329
us	326
de	326
per	322
synthetic	322
dependent	318
biological	317
lab	316
identify	316
n	316
provides	311
state	311
ii	311
proliferation	310
r	309
generation	309
v2	309
well	308
selected	308
five	307
ten	306
observed	304
chip	303
expressed	303
j	303
associated	302
transcript	302
v	302
12	300
next	300
depleted	300
i	300
differentially	299
size	299
construction	297
same	297
technology	297
peter	296
david	294
min	293
center	292
2500	292
may	291
characterized	290
describe	289
demonstrate	288
power	287
effect	287
known	285
k	283
x	283
jie	283
adding	282
variation	282
need	282
charles	281
without	280
into	278
accuracy	278
run	278
factors	278
rs	278
splice	278
ave	277
depth	277
zhou	277
life	277
levels	276
h	275
several	275
identified	274
models	274
mix	274
multi	274
dna	273
assessed	272
22	271
current	271
ratios	270
examined	270
characterization	269
ngs	269
non	269
l	269
support	269
tim	269
knockdown	269
example	268
rd	268
assess	268
ambion	267
respectively	267
lee	267
observe	267
exon	266
maqc	266
any	266
depletion	266
applications	265
comparison	265
ribosomal	265
level	263
17	262
wang	262
discovery	262
li	262
longer	262
scott	262
fernandez	262
james	262
location	262
yang	261
thomas	260
chen	260
van	260
regulatory	259
ribo	259
york	259
16	258
examine	258
college	258
t	258
broad	258
john	258
ratio	258
dramatically	258
expanded	258
characteristics	258
fractions	258
note	258
med	258
process	257
pipeline	257
encompassing	257
represent	257
robert	257
srp026126	257
sra091256	257
abrf	257
ilmn	257
gse48035	257
degraded	257
28403	257
methodological	257
discoveries	257
help	257
gauge	257
disparate	257
leverages	257
standards	257
hiseqs	257
personal	257
machine	257
proton	257
gs	257
flx	257
pacific	257
biosciences	257
r2	257
intra	257
salvage	257
readily	257
foundation	257
standardization	257
evaluation	257
improvement	257
names	257
format	257
means	257
cornell	257
exact	257
ran	257
2nd	257
chm2042	257
physiology	257
biophysics	257
weill	257
1304	257
10065	257
232416	257
sirna	257
capture	256
barcode	256
normal	255
thus	255
zhang	255
future	254
flowcell	254
larger	254
drug	253
providing	252
microarray	251
lin	251
stratagene	251
combining	251
h3k36me3	250
h3k27	250
rneasy	250
still	250
wei	250
wu	250
hui	250
yu	250
jun	249
established	249
own	249
assessment	249
qing	249
liang	248
external	248
distinct	248
iii	248
guo	248
yen	248
mediated	248
affymetrix	247
clinical	247
xiao	247
gao	247
edward	247
thompson	247
hans	247
chang	247
tao	247
du	247
joseph	247
ryan	247
wan	247
unique	246
discovered	246
tan	246
gong	246
jia	246
mehdi	246
shen	246
smith	246
eric	246
yin	246
tong	246
870	245
yuan	245
su	245
ma	245
bing	245
craig	245
solid	245
limitations	245
comparisons	245
billion	245
settings	245
